,date,daily_ret,realized_vol
94,2020/03/18,-0.07069274912736849,0.0009320500083958227
95,2020/03/19,-0.10743431321953893,0.005226450463372757
96,2020/03/20,0.0577726267454448,0.0024726694452451912
97,2020/03/23,-0.0015033828940315109,0.0071511564403621344
98,2020/03/24,0.06356929402026229,0.0022007500652287803
99,2020/03/25,0.029462032730316282,0.002138421223283015
100,2020/03/26,-0.011358794035606405,0.0010280442277440357
101,2020/03/27,-0.0178348676360342,0.0026804977435032854
102,2020/03/30,0.0177422242466041,0.0015836241928661075
103,2020/03/31,0.00851068966790861,0.0006856307413156339
104,2020/04/01,-0.03748532142121568,0.0005303798307688316
105,2020/04/02,0.026242485589647216,0.0007163551569080828
106,2020/04/03,0.002593474546381985,0.0004286576587393142
107,2020/04/06,0.02823022943132474,0.0003592921641863546
108,2020/04/07,0.001428134487350466,0.0007205616475117531
